BARCODE,Name,Number,GROUP,SAMPLE
MID1,"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sandarakinorhabdus",60,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Alcaligenaceae Derxia",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiaceae Limnobacter",1,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiaceae Wautersia",4,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Aquabacterium",446,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Aquincola",3,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Inhella",7,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Leptothrix",2,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Mitsuaria",7,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Rhizobacter",59,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Thiobacter",3,EXTRACTION CONTROL,unknown
MID1,"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Xylophilus",12,EXTRACTION CONTROL,unknown
